title,artist,genres,popularity,danceability,energy,tempo,valence,instrumentalness,acousticness,track_id,artist_id,Primary genre,final genre
Jaguar,Yaeger,unknown,34,0.581,0.642,98.03,0.685,0.02,0.0393,1EbPebzZXIn4QmYsL31Ahy,0sWPIrlMZlHFkDBYkciO3X,unknown,Other
Awkward,LOVA,swedish pop,0,0.539,0.466,84.13,0.359,7.95e-06,0.591,1DwFRzuCCcU7iogXAieS6V,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Mi Coche,IVAN$ITO,unknown,14,0.877,0.827,91.993,0.77,0.0,0.499,3qwHCA1onB4XEJlIyhlD8q,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Every Second,Mina Okabe,unknown,56,0.805,0.565,130.016,0.642,2.42e-06,0.623,0GxUJLTF4RanPVwY1YpcZ3,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Prom,Augustine,swedish indie pop,26,0.67,0.486,107.988,0.373,0.000363,0.325,5flMoOfc914PhFtAD8e1gX,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Stolen,Yaeger,unknown,29,0.601,0.822,136.088,0.21,0.000289,0.000321,1ykt4FccCEkspnAP8G5544,0sWPIrlMZlHFkDBYkciO3X,unknown,Other
What For?,Sam Ezeh,unknown,16,0.655,0.414,143.889,0.254,0.261,0.526,1HmdMV6AP2ZA01JdgZFf44,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Sweet Love,Augustine,swedish indie pop,48,0.759,0.587,113.02,0.573,0.000459,0.363,1vbVS8vpaFQNjketow7tse,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Ahorita,IVAN$ITO,unknown,27,0.816,0.632,119.972,0.701,0.00111,0.366,6eaupQfbjsvOsTCNqz4SQv,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Other Side,Sam Ezeh,unknown,14,0.553,0.501,96.031,0.213,0.147,0.935,2FZ2D3fVByioMCHTwXQEhB,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Fragrance,Augustine,swedish indie pop,21,0.651,0.402,100.006,0.173,0.0162,0.217,0Ot8GnwG2tDkJ8R6dgNfbd,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Ciao,Yaeger,unknown,36,0.347,0.76,128.669,0.142,0.000703,0.00327,2tXILArq64JkwKB1G2wstD,0sWPIrlMZlHFkDBYkciO3X,unknown,Other
Happy New Year - Spotify Singles: Holiday,LOVA,swedish pop,27,0.625,0.274,134.9,0.081,0.0,0.834,7JGCzG4u3YNom3CTwz2kpr,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Miel (feat. Emi Wes),IVAN$ITO,unknown,12,0.722,0.702,92.008,0.682,0.00326,0.0689,4hyvOfanBcQKaZNsBdPMZE,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Piece Of Me (with LOVA),Gryffin,edm; pop dance,43,0.676,0.865,121.99,0.394,0.000476,0.0347,5mlNLzIdl6Ae2a4YRphSI4,2ZRQcIgzPCVaT9XKhXZIzh,edm,Electronic/Dance
Walk Away,Mina Okabe,unknown,40,0.885,0.563,115.026,0.64,2.99e-05,0.566,3XQDYyBoAeP7Agcx4YCwHS,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Blue Dream (Outro),Sam Ezeh,unknown,13,0.385,0.763,203.794,0.244,0.278,0.102,0z87dq19ylNYib5WN0HVIn,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Black Converse,LOVA,swedish pop,0,0.775,0.41,117.165,0.298,2.62e-05,0.724,2NQtXwEgMkIeTiThSdbWPq,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Jealous Of My Friends,LOVA,swedish pop,22,0.671,0.464,129.982,0.52,0.0,0.193,7H8VxrYJR2sWWLBrtcmQgt,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Coast,Augustine,swedish indie pop,36,0.819,0.655,120.01,0.681,0.00016,0.00934,23KRFSsLa3UQ8FMY6KQ63i,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Tiempo,IVAN$ITO,unknown,16,0.899,0.613,147.112,0.861,0.01,0.481,7jLHNgWVLDpiOwm9Fo0c8e,0cPmSFfjpop7imPVWSk2yc,unknown,Other
I'm Done,Mina Okabe,unknown,25,0.793,0.538,112.947,0.76,0.000307,0.168,31woMxYB85YfABARqqJm7e,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
CRISIS,Sam Ezeh,unknown,25,0.76,0.509,139.986,0.869,4.09e-05,0.0212,43ImePOfnaz2d4YH4mWwyi,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Backseat,Augustine,swedish indie pop,38,0.598,0.427,93.004,0.28,5.61e-05,0.349,4Sec4YoFHueidjEW8fQDSj,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Dance For The Hell Of It,LOVA,swedish pop,37,0.638,0.705,160.07,0.503,0.0,0.0178,1G8nKybzD7qlBxfZYFSybv,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
